time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.6, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,6,P-GPS,Aircraft in Altitude Zone. Max altitude set to 98 ft (Code: 30015)
100,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.5, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
200,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.6, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
300,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.6, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
400,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.5, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
500,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.4, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
600,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.3, 2.3, 1.6,0,0,364,364,364,1684,270.2,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
700,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.2, 2.3, 1.6,0,0,1024,1024,1024,1024,270.1,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
800,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.2, 2.3, 1.6,0,0,1024,1024,1024,1024,270,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 25. Setting new Maximum Flight Altitude to 30m (98 ft)
900,2021-09-06 02:47:58,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.3, 2.3, 1.6,0,0,1024,1024,1024,1024,269.9,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
1000,2021-09-06 02:47:59,0,0,0,,,17.710511721592,0.328084,0,0,0,0,0,17.710511721592,0,0,0,0,0,0,269.4, 2.3, 1.5,0,0,1024,1024,1024,1024,270,0,96,4.199,4.198,4.199,0,0,0,0,77.36,17.710511721592,0,41,Motors_Started,
