time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2021-09-06 02:23:48,47.5726976524126,-122.62662335236,0,0,17.367977261812,17.367977261812,0.328084,0,0,11,4,0,17.367977261812,0,0,0,0,0,0,79.2, 3.3, 1.9,0,0,364,364,364,1684,63.3,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
100,2021-09-06 02:23:48,47.5726975932024,-122.626623360638,0,0,17.367977261812,17.367977261812,0.328084,0,0.0216986883584,11,4,0,17.367977261812,0,0,0.0216986883584,0,0,0,79.3, 3.3, 1.9,0,0,364,364,364,1684,63.3,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
200,2021-09-06 02:23:48,47.5726975411239,-122.626623353659,0,0,17.367977261812,17.367977261812,0.328084,0,0.040604988176,11,4,0,17.367977261812,0,0,0.040604988176,0,0,0,79.3, 3.3, 1.9,0,0,364,364,364,1684,63.3,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
300,2021-09-06 02:23:48,47.5726974992167,-122.626623276772,0,0,17.367977261812,17.367977261812,0.328084,0,0.058908794536,11,4,0,17.367977261812,0,0,0.058908794536,0,0,0,79.3, 3.3, 1.8,0,0,364,364,364,1684,63.3,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
400,2021-09-06 02:23:48,47.5726974502046,-122.626623227061,0,0,17.367977261812,17.367977261812,0.328084,0,0.079962929068,11,4,0,17.367977261812,0,0,0.079962929068,0,0,0,79.2, 3.3, 1.9,0,0,432,364,364,1684,63.3,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
500,2021-09-06 02:23:48,47.5726973784945,-122.62662339129,0,0,17.367977261812,17.367977261812,0.328084,0,0.100397312924,11,4,0,17.367977261812,0,0,0.100397312924,0,0,0,79.2, 3.3, 1.9,0,0,1024,1024,1024,1024,63.2,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
600,2021-09-06 02:23:48,47.5726972947281,-122.626623426233,0,0,17.367977261812,17.367977261812,0.328084,0,0.13176181524,11,4,0,17.367977261812,0,0,0.13176181524,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.2,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,Setting new Return-To-Home altitude to 64m (210 ft). Data Recorder File Index is 32. Setting new Maximum Flight Altitude to 121m (397 ft)
700,2021-09-06 02:23:48,47.5726972328871,-122.626623411947,0,0,17.367977261812,17.367977261812,0.328084,0,0.1537647687,11,4,0,17.367977261812,0,0,0.1537647687,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.2,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
800,2021-09-06 02:23:48,47.5726971665574,-122.626623401689,0,0,17.367977261812,17.367977261812,0.328084,0,0.177679467628,13,4,0,17.367977261812,0,0,0.177679467628,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.2,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
900,2021-09-06 02:23:49,47.5726970523562,-122.62662339536,0,0,17.367977261812,17.367977261812,0.328084,0,0.219186030636,13,4,0,17.367977261812,0,0,0.219186030636,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0,80.96,17.367977261812,0,41,Motors_Started,
1000,2021-09-06 02:23:49,47.57269696074,-122.626623397319,0,0,17.367977261812,17.367977261812,0.328084,0,0.252598761364,13,4,8.559,17.367977261812,0,0,0.252598761364,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,41,Motors_Started,
1100,2021-09-06 02:23:49,47.5726969058834,-122.626623511339,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.27516733164,13,4,8.559,17.367977261812,0,0,0.27516733164,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1200,2021-09-06 02:23:49,47.5726968474768,-122.626623642192,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.302221466364,13,4,8.559,17.367977261812,0,0,0.302221466364,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1300,2021-09-06 02:23:49,47.5726967551481,-122.626624165867,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.38375329312,13,4,8.559,17.367977261812,0,0,0.38375329312,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1400,2021-09-06 02:23:49,47.5726966654151,-122.626624310501,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.4304626122,13,4,8.559,17.367977261812,0,0,0.4304626122,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1500,2021-09-06 02:23:49,47.5726966024114,-122.626624458068,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.4699311174,13,4,8.559,17.367977261812,0,0,0.4699311174,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1600,2021-09-06 02:23:49,47.5726965447157,-122.626624596137,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.50701117108,13,4,8.559,17.367977261812,0,0,0.50701117108,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1700,2021-09-06 02:23:49,47.572696574714,-122.626624856401,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.5400590724,13,4,8.559,17.367977261812,0,0,0.5400590724,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1800,2021-09-06 02:23:49,47.5726965301492,-122.626624976642,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.57228020204,13,4,8.559,17.367977261812,0,0,0.57228020204,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
1900,2021-09-06 02:23:50,47.5726964832916,-122.626625090114,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.60407810332,13,4,8.559,17.367977261812,0,0,0.60407810332,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.25,4.232,0,0,0,0,0.657,80.96,17.367977261812,0,10,Assisted_Takeoff,
2000,2021-09-06 02:23:50,47.5726964385729,-122.626625197096,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.6342847972,13,4,8.459,17.367977261812,0,0,0.6342847972,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.257,4.239,0,0,0,0,1.48,80.96,17.367977261812,0,10,Assisted_Takeoff,
2100,2021-09-06 02:23:50,47.5726963891586,-122.626625303078,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.66557088744,13,4,8.459,17.367977261812,0,0,0.66557088744,0,0,0,79.1, 3.3, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.257,4.239,0,0,0,0,1.48,80.96,17.367977261812,0,10,Assisted_Takeoff,
2200,2021-09-06 02:23:50,47.572696403072,-122.626625392682,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.678231649,13,4,8.459,17.367977261812,0,0,0.678231649,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.257,4.239,0,0,0,0,1.48,80.96,17.367977261812,0,10,Assisted_Takeoff,
2300,2021-09-06 02:23:50,47.5726963506084,-122.626625449507,0,0.032808399999999,17.335168861812,17.367977261812,0.328084,0,0.70146983872,13,4,8.459,17.367977261812,0,0,0.70146983872,0,0,0,79.1, 3.4, 1.9,0,0,1024,1024,1024,1024,63.1,0,95,4.257,4.239,0,0,0,0,1.48,80.96,17.367977261812,0,10,Assisted_Takeoff,
